[2025-04-05T13:02:00.414+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-05T13:02:00.440+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-05T13:00:00+00:00 [queued]>
[2025-04-05T13:02:00.445+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-05T13:00:00+00:00 [queued]>
[2025-04-05T13:02:00.445+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-04-05T13:02:00.454+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): run_iot_producer_script> on 2025-04-05 13:00:00+00:00
[2025-04-05T13:02:00.458+0000] {standard_task_runner.py:63} INFO - Started process 2407 to run task
[2025-04-05T13:02:00.461+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'iot_data_pipeline', 'run_iot_producer_script', 'scheduled__2025-04-05T13:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/iot_data_dag.py', '--cfg-path', '/tmp/tmpsk0tsq1b']
[2025-04-05T13:02:00.462+0000] {standard_task_runner.py:91} INFO - Job 35: Subtask run_iot_producer_script
[2025-04-05T13:02:00.498+0000] {task_command.py:426} INFO - Running <TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-05T13:00:00+00:00 [running]> on host aef507eba48f
[2025-04-05T13:02:00.561+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='iot_data_pipeline' AIRFLOW_CTX_TASK_ID='run_iot_producer_script' AIRFLOW_CTX_EXECUTION_DATE='2025-04-05T13:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-05T13:00:00+00:00'
[2025-04-05T13:02:00.561+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-05T13:02:00.572+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-04-05T13:02:00.573+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/***/dags/script/iot_data_producer.py']
[2025-04-05T13:02:00.580+0000] {subprocess.py:86} INFO - Output:
[2025-04-05T13:03:05.697+0000] {subprocess.py:93} INFO -  Démarrage de la génération et diffusion des données IoT...
[2025-04-05T13:03:05.698+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-MT-89', 'timestamp': '2025-04-05T13:02:01.425826', 'region': 'MT', 'season': 'saison_seche', 'temperature': 39.14, 'humidity': 15.33, 'soil_moisture': 23.07, 'vibration': 3.09, 'pressure': 1.52}
[2025-04-05T13:03:05.699+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-KD-65', 'timestamp': '2025-04-05T13:02:03.436953', 'region': 'KD', 'season': 'saison_seche', 'temperature': 32.3, 'humidity': 53.86, 'soil_moisture': 34.59, 'vibration': 3.49, 'pressure': 1.52}
[2025-04-05T13:03:05.699+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-TH-75', 'timestamp': '2025-04-05T13:02:05.444951', 'region': 'TH', 'season': 'saison_seche', 'temperature': 32.86, 'humidity': 46.58, 'soil_moisture': 11.1, 'vibration': 3.43, 'pressure': 1.45}
[2025-04-05T13:03:05.700+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-DK-7', 'timestamp': '2025-04-05T13:02:07.453099', 'region': 'DK', 'season': 'saison_seche', 'temperature': 30.2, 'humidity': 66.14, 'soil_moisture': 26.97, 'vibration': 4.93, 'pressure': 1.91}
[2025-04-05T13:03:05.701+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-MT-64', 'timestamp': '2025-04-05T13:02:09.462983', 'region': 'MT', 'season': 'saison_seche', 'temperature': 38.17, 'humidity': 17.8, 'soil_moisture': 24.93, 'vibration': 3.61, 'pressure': 2.09}
[2025-04-05T13:03:05.701+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-ZG-51', 'timestamp': '2025-04-05T13:02:11.472982', 'region': 'ZG', 'season': 'saison_seche', 'temperature': 29.39, 'humidity': 79.14, 'soil_moisture': 32.51, 'vibration': 4.28, 'pressure': 1.02}
[2025-04-05T13:03:05.702+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-KD-67', 'timestamp': '2025-04-05T13:02:13.477950', 'region': 'KD', 'season': 'saison_seche', 'temperature': 33.74, 'humidity': 55.37, 'soil_moisture': 18.98, 'vibration': 2.06, 'pressure': 0.99}
[2025-04-05T13:03:05.702+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-KD-50', 'timestamp': '2025-04-05T13:02:15.488871', 'region': 'KD', 'season': 'saison_seche', 'temperature': 32.37, 'humidity': 52.14, 'soil_moisture': 35.22, 'vibration': 1.28, 'pressure': 1.64}
[2025-04-05T13:03:05.703+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-ZG-84', 'timestamp': '2025-04-05T13:02:17.499003', 'region': 'ZG', 'season': 'saison_seche', 'temperature': 29.82, 'humidity': 77.31, 'soil_moisture': 20.51, 'vibration': 1.62, 'pressure': 1.27}
[2025-04-05T13:03:05.703+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-MT-84', 'timestamp': '2025-04-05T13:02:19.509000', 'region': 'MT', 'season': 'saison_seche', 'temperature': 38.03, 'humidity': 10.94, 'soil_moisture': 33.77, 'vibration': 2.18, 'pressure': 1.16}
[2025-04-05T13:03:05.704+0000] {subprocess.py:93} INFO -  Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-KD-20', 'timestamp': '2025-04-05T13:02:21.522968', 'region': 'KD', 'season': 'saison_seche', 'temperature': 32.5, 'humidity': 56.89, 'soil_moisture': 32.67, 'vibration': 2.5, 'pressure': 2.09}
