[2025-04-06T17:51:43.145+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-06T17:51:43.187+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-06T17:45:00+00:00 [queued]>
[2025-04-06T17:51:43.200+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-06T17:45:00+00:00 [queued]>
[2025-04-06T17:51:43.200+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2025-04-06T17:51:43.214+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): run_iot_producer_script> on 2025-04-06 17:45:00+00:00
[2025-04-06T17:51:43.220+0000] {standard_task_runner.py:63} INFO - Started process 20378 to run task
[2025-04-06T17:51:43.224+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'iot_data_pipeline', 'run_iot_producer_script', 'scheduled__2025-04-06T17:45:00+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/iot_data_dag.py', '--cfg-path', '/tmp/tmph82qs_6y']
[2025-04-06T17:51:43.227+0000] {standard_task_runner.py:91} INFO - Job 58: Subtask run_iot_producer_script
[2025-04-06T17:51:43.291+0000] {task_command.py:426} INFO - Running <TaskInstance: iot_data_pipeline.run_iot_producer_script scheduled__2025-04-06T17:45:00+00:00 [running]> on host aef507eba48f
[2025-04-06T17:51:43.394+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='iot_data_pipeline' AIRFLOW_CTX_TASK_ID='run_iot_producer_script' AIRFLOW_CTX_EXECUTION_DATE='2025-04-06T17:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-06T17:45:00+00:00'
[2025-04-06T17:51:43.394+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-06T17:51:43.415+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-04-06T17:51:43.415+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/***/dags/script/iot_data_producer.py']
[2025-04-06T17:51:43.430+0000] {subprocess.py:86} INFO - Output:
[2025-04-07T21:52:53.697+0000] {subprocess.py:93} INFO - Démarrage de la génération et diffusion des données IoT...
[2025-04-07T21:52:53.699+0000] {subprocess.py:93} INFO - Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-SL-20', 'timestamp': '2025-04-06T17:51:44.351119', 'region': 'SL', 'season': 'saison_seche', 'temperature': 30.92, 'humidity': 57.29, 'soil_moisture': 44.18, 'vibration': 1.24, 'pressure': 1.63}
[2025-04-07T21:52:53.700+0000] {subprocess.py:93} INFO - Donnée vibration envoyée et stockée: {'machine_id': 'IOT-MACH-ZG-8', 'timestamp': '2025-04-07T21:11:22.458425', 'region': 'ZG', 'season': 'saison_seche', 'temperature': 29.62, 'humidity': 81.89, 'soil_moisture': 36.31, 'vibration': 0.25, 'pressure': 1.29}
[2025-04-07T21:52:53.701+0000] {subprocess.py:93} INFO - Donnée pression envoyée et stockée: {'machine_id': 'IOT-MACH-KD-22', 'timestamp': '2025-04-07T21:11:32.472352', 'region': 'KD', 'season': 'saison_seche', 'temperature': 32.24, 'humidity': 54.24, 'soil_moisture': 11.06, 'vibration': 3.0, 'pressure': 0.83}
[2025-04-07T21:52:53.701+0000] {subprocess.py:93} INFO - Donnée humidité du sol envoyée et stockée: {'machine_id': 'IOT-MACH-MT-19', 'timestamp': '2025-04-07T21:12:02.503755', 'region': 'MT', 'season': 'saison_seche', 'temperature': 39.19, 'humidity': 16.47, 'soil_moisture': 22.32, 'vibration': 4.73, 'pressure': 1.99}
[2025-04-07T21:52:53.702+0000] {subprocess.py:93} INFO - Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-ZG-52', 'timestamp': '2025-04-07T21:12:12.514021', 'region': 'ZG', 'season': 'saison_seche', 'temperature': 29.75, 'humidity': 82.08, 'soil_moisture': 43.22, 'vibration': 3.86, 'pressure': 1.93}
[2025-04-07T21:52:53.703+0000] {subprocess.py:93} INFO - Donnée vibration envoyée et stockée: {'machine_id': 'IOT-MACH-KD-58', 'timestamp': '2025-04-07T21:17:12.622372', 'region': 'KD', 'season': 'saison_seche', 'temperature': 33.51, 'humidity': 53.54, 'soil_moisture': 35.16, 'vibration': 2.47, 'pressure': 2.15}
[2025-04-07T21:52:53.703+0000] {subprocess.py:93} INFO - Donnée pression envoyée et stockée: {'machine_id': 'IOT-MACH-TH-57', 'timestamp': '2025-04-07T21:17:22.635403', 'region': 'TH', 'season': 'saison_seche', 'temperature': 31.73, 'humidity': 46.66, 'soil_moisture': 32.24, 'vibration': 4.34, 'pressure': 1.86}
[2025-04-07T21:52:53.704+0000] {subprocess.py:93} INFO - Donnée humidité du sol envoyée et stockée: {'machine_id': 'IOT-MACH-TH-14', 'timestamp': '2025-04-07T21:17:52.658379', 'region': 'TH', 'season': 'saison_seche', 'temperature': 32.7, 'humidity': 51.07, 'soil_moisture': 49.54, 'vibration': 4.52, 'pressure': 1.76}
[2025-04-07T21:52:53.705+0000] {subprocess.py:93} INFO - Donnée envoyée et stockée: {'machine_id': 'IOT-MACH-SL-60', 'timestamp': '2025-04-07T21:18:02.675394', 'region': 'SL', 'season': 'saison_seche', 'temperature': 31.03, 'humidity': 57.38, 'soil_moisture': 18.34, 'vibration': 1.87, 'pressure': 1.74}
[2025-04-07T21:52:53.706+0000] {subprocess.py:93} INFO - Donnée vibration envoyée et stockée: {'machine_id': 'IOT-MACH-DK-60', 'timestamp': '2025-04-07T21:23:02.777376', 'region': 'DK', 'season': 'saison_seche', 'temperature': 29.57, 'humidity': 66.06, 'soil_moisture': 12.17, 'vibration': 4.93, 'pressure': 1.6}
[2025-04-07T21:52:53.706+0000] {subprocess.py:93} INFO - Donnée pression envoyée et stockée: {'machine_id': 'IOT-MACH-TH-70', 'timestamp': '2025-04-07T21:23:12.795203', 'region': 'TH', 'season': 'saison_seche', 'temperature': 31.81, 'humidity': 45.02, 'soil_moisture': 42.87, 'vibration': 3.21, 'pressure': 2.38}
